oferta,demanda,ndvi,poblacion,precip_anual,n_pozos,derechos_otorgados,indice
2856.76,242.31,0.28,137092,842.18,450,205.96,19.4
2990.48,15.71,0.78,7641,1486.37,12,13.35,5.0
11047.56,55.54,0.78,27031,1509.57,12,47.21,5.0
3419.49,15.36,0.78,7477,1165.64,12,13.06,4.9
1749.96,10.74,0.78,5225,1374.39,12,9.13,5.1
23283.01,110.59,0.78,53821,1460.36,12,94.0,5.0
276.09,27.06,0.45,12555,625.69,12,23.0,16.2
228.15,27.49,0.45,12756,566.4,12,23.37,17.4
91.75,9.78,0.45,4540,497.79,12,8.31,16.4
264.67,40.98,0.45,19018,692.36,12,34.83,19.7
50.0,6.01,0.45,2789,200.0,12,5.11,18.0
51.81,21.99,0.45,10202,575.92,12,18.69,33.3
50.0,25.0,0.45,148044,200.0,12,21.25,43.0
110.44,33.94,0.45,15751,646.55,12,28.85,27.4
915.81,167.88,0.45,77910,607.4,12,142.7,20.9
2104.48,121.63,0.45,348824,717.23,12,103.39,16.5
1370.81,188.62,0.45,87541,759.64,12,160.33,18.4
32.27,10.47,0.45,4856,309.91,12,8.9,27.6
36.07,6.74,0.45,3132,334.6,12,5.73,20.4
254.83,38.02,0.45,17645,376.45,12,32.32,18.8
121.59,18.2,0.45,8449,445.08,12,15.47,18.8
10.45,127.15,0.28,313633,97.2,450,108.08,83.6
9.97,70.59,0.28,8690,9.4,80,60.0,83.6
50.0,58.54,0.28,7208,200.0,80,49.76,71.3
50.0,13.79,0.28,1698,200.0,80,11.72,28.5
9.81,151.35,0.28,17354,7.14,450,128.65,84.8
50.0,36.93,0.28,4547,200.0,80,31.39,53.7
17.03,182.22,0.28,20893,18.13,450,154.89,84.4
23.57,254.62,0.28,29195,33.96,450,216.43,84.4
50.0,35.26,0.28,4341,200.0,80,29.97,51.8
91.15,160.37,0.28,18387,40.07,450,136.31,78.1
89.58,166.85,0.28,19131,47.72,450,141.82,78.7
50.0,18.11,0.28,2229,200.0,80,15.39,33.2
136.99,445.66,0.28,51098,22.59,450,378.81,85.0
203.82,629.61,0.28,72191,8.51,450,535.17,84.9
